artist,artist_norm,n_reviews,is_various,is_suspicious_token,artist_spotify,match_type,score,spotify_artist_id
gojira,gojira,3,False,False,Gojira,exact_norm,1.0,
gwen stefani,gwen stefani,3,False,False,Gwen Stefani,exact_norm,1.0,
gza,gza,3,False,False,GZA,exact_norm,1.0,
heems,heems,3,False,False,Heems,exact_norm,1.0,
holy ghost!,holy ghost!,3,False,False,Holy Ghost!,exact_norm,1.0,
jadakiss,jadakiss,3,False,False,Jadakiss,exact_norm,1.0,
jimmy eat world,jimmy eat world,3,False,False,Jimmy Eat World,exact_norm,1.0,
jimmy edgar,jimmy edgar,3,False,False,Jimmy Edgar,exact_norm,1.0,
joey bada$$,joey bada$$,3,False,False,Joey Bada$$,exact_norm,1.0,
john coltrane,john coltrane,3,False,False,John Coltrane,exact_norm,1.0,
joy division,joy division,3,False,False,Joy Division,exact_norm,1.0,
juelz santana,juelz santana,3,False,False,Juelz Santana,exact_norm,1.0,
justin timberlake,justin timberlake,3,False,False,Justin Timberlake,exact_norm,1.0,
kelela,kelela,3,False,False,Kelela,exact_norm,1.0,
killer mike,killer mike,3,False,False,Killer Mike,exact_norm,1.0,
kylie minogue,kylie minogue,3,False,False,Kylie Minogue,exact_norm,1.0,
lana del rey,lana del rey,3,False,False,Lana Del Rey,exact_norm,1.0,
lapalux,lapalux,3,False,False,Lapalux,exact_norm,1.0,
lee scratch perry,lee scratch perry,3,False,False,"Lee ""Scratch"" Perry",jaccard_token,1.0,
lily allen,lily allen,3,False,False,Lily Allen,exact_norm,1.0,
lykke li,lykke li,3,False,False,Lykke Li,exact_norm,1.0,
madvillain,madvillain,3,False,False,Madvillain,exact_norm,1.0,
mark ronson,mark ronson,3,False,False,Mark Ronson,exact_norm,1.0,
matias aguayo,matias aguayo,3,False,False,Matias Aguayo,exact_norm,1.0,
mayday,mayday,3,False,False,Mayday,exact_norm,1.0,
memoryhouse,memoryhouse,3,False,False,Memoryhouse,exact_norm,1.0,
mf doom,mf doom,3,False,False,MF DOOM,exact_norm,1.0,
mick jenkins,mick jenkins,3,False,False,Mick Jenkins,exact_norm,1.0,
miguel,miguel,3,False,False,Miguel,exact_norm,1.0,
mikal cronin,mikal cronin,3,False,False,Mikal Cronin,exact_norm,1.0,
mobb deep,mobb deep,3,False,False,Mobb Deep,exact_norm,1.0,
nicki minaj,nicki minaj,3,False,False,Nicki Minaj,exact_norm,1.0,
nicolas jaar,nicolas jaar,3,False,False,Nicolas Jaar,exact_norm,1.0,
nina simone,nina simone,3,False,False,Nina Simone,exact_norm,1.0,
otis redding,otis redding,3,False,False,Otis Redding,exact_norm,1.0,
partynextdoor,partynextdoor,3,False,False,PARTYNEXTDOOR,exact_norm,1.0,
perfume genius,perfume genius,3,False,False,Perfume Genius,exact_norm,1.0,
peter gabriel,peter gabriel,3,False,False,Peter Gabriel,exact_norm,1.0,
pond,pond,3,False,False,Pond,exact_norm,1.0,
porcelain raft,porcelain raft,3,False,False,Porcelain Raft,exact_norm,1.0,
prince rama,prince rama,3,False,False,Prince Rama,exact_norm,1.0,
ramones,ramones,3,False,False,Ramones,exact_norm,1.0,
rza,rza,3,False,False,RZA,exact_norm,1.0,
schoolboy q,schoolboy q,3,False,False,ScHoolboy Q,exact_norm,1.0,
seu jorge,seu jorge,3,False,False,Seu Jorge,exact_norm,1.0,
shabazz palaces,shabazz palaces,3,False,False,Shabazz Palaces,exact_norm,1.0,
shit robot,shit robot,3,False,False,Shit Robot,exact_norm,1.0,
solange,solange,3,False,False,Solange,exact_norm,1.0,
stereophonics,stereophonics,3,False,False,Stereophonics,exact_norm,1.0,
t. rex,t. rex,3,False,False,T. Rex,jaccard_token,1.0,
tame impala,tame impala,3,False,False,Tame Impala,exact_norm,1.0,
the 1975,the 1975,3,False,False,The 1975,exact_norm,1.0,
the gaslamp killer,the gaslamp killer,3,False,False,The Gaslamp Killer,exact_norm,1.0,
the smiths,the smiths,3,False,False,The Smiths,exact_norm,1.0,
the strange boys,the strange boys,3,False,False,The Strange Boys,exact_norm,1.0,
the the,the the,3,False,False,The The,exact_norm,1.0,
thundercat,thundercat,3,False,False,Thundercat,exact_norm,1.0,
tinashe,tinashe,3,False,False,Tinashe,exact_norm,1.0,
tree,tree,3,False,False,Tree,exact_norm,1.0,
tune-yards,tune-yards,3,False,False,tUnE-yArDs,jaccard_token,1.0,
twin shadow,twin shadow,3,False,False,Twin Shadow,exact_norm,1.0,
van morrison,van morrison,3,False,False,Van Morrison,exact_norm,1.0,
vince staples,vince staples,3,False,False,Vince Staples,exact_norm,1.0,
warpaint,warpaint,3,False,False,Warpaint,exact_norm,1.0,
washed out,washed out,3,False,False,Washed Out,exact_norm,1.0,
a guy called gerald,a guy called gerald,2,False,False,A Guy Called Gerald,exact_norm,1.0,
a tribe called quest,a tribe called quest,2,False,False,A Tribe Called Quest,exact_norm,1.0,
abba,abba,2,False,False,ABBA,exact_norm,1.0,
al green,al green,2,False,False,Al Green,exact_norm,1.0,
alessia cara,alessia cara,2,False,False,Alessia Cara,exact_norm,1.0,
alex g,alex g,2,False,False,Alex G,exact_norm,1.0,
alicia keys,alicia keys,2,False,False,Alicia Keys,exact_norm,1.0,
aloe blacc,aloe blacc,2,False,False,Aloe Blacc,exact_norm,1.0,
alt-j,alt-j,2,False,False,alt-J,jaccard_token,1.0,
anderson .paak,anderson .paak,2,False,False,Anderson .Paak,jaccard_token,1.0,
audioslave,audioslave,2,False,False,Audioslave,exact_norm,1.0,
bee gees,bee gees,2,False,False,Bee Gees,exact_norm,1.0,
big sean,big sean,2,False,False,Big Sean,exact_norm,1.0,
billie holiday,billie holiday,2,False,False,Billie Holiday,exact_norm,1.0,
black sabbath,black sabbath,2,False,False,Black Sabbath,exact_norm,1.0,
blondie,blondie,2,False,False,Blondie,exact_norm,1.0,
bonobo,bonobo,2,False,False,Bonobo,exact_norm,1.0,
carly rae jepsen,carly rae jepsen,2,False,False,Carly Rae Jepsen,exact_norm,1.0,
cashmere cat,cashmere cat,2,False,False,Cashmere Cat,exact_norm,1.0,
charles mingus,charles mingus,2,False,False,Charles Mingus,exact_norm,1.0,
classixx,classixx,2,False,False,Classixx,exact_norm,1.0,
courtney barnett,courtney barnett,2,False,False,Courtney Barnett,exact_norm,1.0,
cults,cults,2,False,False,Cults,exact_norm,1.0,
damian marley,damian marley,2,False,False,Damian Marley,exact_norm,1.0,
dangelo,dangelo,2,False,False,D'Angelo,exact_norm,1.0,
dean,dean,2,False,False,DEAN,exact_norm,1.0,
deftones,deftones,2,False,False,Deftones,exact_norm,1.0,
diiv,diiv,2,False,False,DIIV,exact_norm,1.0,
dr. dre,dr. dre,2,False,False,Dr. Dre,jaccard_token,1.0,
duster,duster,2,False,False,Duster,exact_norm,1.0,
earl sweatshirt,earl sweatshirt,2,False,False,Earl Sweatshirt,exact_norm,1.0,
electric light orchestra,electric light orchestra,2,False,False,Electric Light Orchestra,exact_norm,1.0,
elvis presley,elvis presley,2,False,False,Elvis Presley,exact_norm,1.0,
empire of the sun,empire of the sun,2,False,False,Empire of the Sun,exact_norm,1.0,
father,father,2,False,False,Father,exact_norm,1.0,
fidlar,fidlar,2,False,False,FIDLAR,exact_norm,1.0,
fifth harmony,fifth harmony,2,False,False,Fifth Harmony,exact_norm,1.0,
first aid kit,first aid kit,2,False,False,First Aid Kit,exact_norm,1.0,
frank sinatra,frank sinatra,2,False,False,Frank Sinatra,exact_norm,1.0,
funkadelic,funkadelic,2,False,False,Funkadelic,exact_norm,1.0,
g-eazy,g-eazy,2,False,False,G-Eazy,jaccard_token,1.0,
generationals,generationals,2,False,False,Generationals,exact_norm,1.0,
gotye,gotye,2,False,False,Gotye,exact_norm,1.0,
iamsu!,iamsu!,2,False,False,Iamsu!,exact_norm,1.0,
icona pop,icona pop,2,False,False,Icona Pop,exact_norm,1.0,
in flames,in flames,2,False,False,In Flames,exact_norm,1.0,
jagwar ma,jagwar ma,2,False,False,Jagwar Ma,exact_norm,1.0,
james pants,james pants,2,False,False,James Pants,exact_norm,1.0,
jamie xx,jamie xx,2,False,False,Jamie xx,exact_norm,1.0,
janet jackson,janet jackson,2,False,False,Janet Jackson,exact_norm,1.0,
jhen aiko,jhen aiko,2,False,False,Jhené Aiko,jaccard_token,1.0,
juicy j,juicy j,2,False,False,Juicy J,exact_norm,1.0,
kacey musgraves,kacey musgraves,2,False,False,Kacey Musgraves,exact_norm,1.0,
kano,kano,2,False,False,Kano,exact_norm,1.0,
kavinsky,kavinsky,2,False,False,Kavinsky,exact_norm,1.0,
kindness,kindness,2,False,False,Kindness,exact_norm,1.0,
lady gaga,lady gaga,2,False,False,Lady Gaga,exact_norm,1.0,
lamb of god,lamb of god,2,False,False,Lamb of God,exact_norm,1.0,
